"","fish","agei","A1","A2","A3","A4","A6"
"30",9,1,202.448796734072,200.364804065827,200.40457087233,197.657876115261,196.394815027052
"31",9,2,196.877099551292,196.582312349084,196.104991535922,194.203934781612,193.477477729178
"32",9,3,191.254750575941,190.379025933624,190.996079618544,190.059205181232,189.422873349082
"33",9,4,187,187,187,187,187
"34",10,1,231.787670598312,227.93097652617,229.414412068019,223.713625379014,223.462422990716
"35",10,2,220.861439465609,220.58874999113,220.717643244529,217.614300415781,216.638926501861
"36",10,3,216.108087161517,216.192656841512,215.986694455391,213.998634094086,213.238364317252
"37",10,4,212.644678047754,213.171425938424,212.587420140232,212.027476442072,211.157757191142
"38",10,5,210.948314400197,211.415299371428,211.302471086392,210.884205003904,210.576082080616
"39",10,6,210,210,210,210,210
"40",11,1,183.522814714916,184.819444273181,183.955882419042,180.496341719731,184.638514462374
"41",11,2,175.020092566409,175.333994664454,174.802159941963,174.304858658012,174.865982833475
"42",11,3,172,172,172,172,172
"43",12,1,221.037566784177,216.893315425909,220.811326225196,217.892262058945,220.920639467152
"44",12,2,211.862529232694,209.599807661964,211.239561869203,210.049426103006,210.172497833745
"45",12,3,206.54860675312,205.680907967905,206.175430727369,205.771515581585,205.164201470535
"46",12,4,203.011579487536,202.74173319736,203.059042332394,202.809885220601,202.913281756732
"47",12,5,201.642587891852,201.326574974505,201.779097098744,201.712985086904,201.675275914141
"48",12,6,201,201,201,201,201
"49",13,1,186.76919067488,187.529698219556,186.656634917604,182.99550799911,185.243855618943
